question,response,context
"List all sports teams Anthony Grant, also known as Anthony Paul Shaun Andrew Daure Grant, played for from 2010 to 2020.",Miami Hurricanes,"['Anthony Grant (basketball) Name: Anthony Grant Image: Anthony Grant.jpg Caption: Grant arrives at Dayton in 2017 Birth Date: April 15, 1966 Birth Place: Miami, Florida, U.S. Nationality: American League: Atlantic 10 Conference Team: Dayton Flyers Position: Head coach High School: Miami (Miami, Florida) College: Dayton (1983–1987) Coach Start: 1987 Cyears1: 1987–1992 Cteam1: Miami HS (assistant) Cyears2: 1992–1993 Cteam2: Miami Central HS Cyears3: 1993–1994 Cteam3: Stetson (assistant) Cyears4: 1994–1996 Cteam4: Marshall (assistant) Cyears5: 1996–2006 Cteam5: Florida (assistant) Cyears6: 2006–2009 Cteam6: VCU Cyears7: 2009–2015 Cteam7: Alabama Cyears8: 2015–2017 Cteam8: Oklahoma City Thunder (assistant) Cyears9: 2017–present Cteam9: Dayton Highlights: *2× CAA tournament (2007, 2009) *3× CAA regular season (2007–2009) *SEC Western Division (2011) *A10 regular season (2020) *Naismith College Coach of the Year (2020) *AP National Coach of the Year (2020) *Henry Iba Award (2020) *NABC Coach of the Year (2020) *Sporting News National Coach of the Year (2020) *Atlantic 10 Coach of the Year (2020) *CAA Coach of the Year (2007)', 'Anthony Grant (footballer, born 1989) Name: Anthony Grant Image: CINvRIC 2017-07-09 - Anthony Grant (40073686940) (cropped).jpg Caption: Grant playing for Richmond Kickers in 2017 Birth Date: August 4, 1989 Birth Place: Kingston, Jamaica Height: 5ft 9in Position: Forward Collegeyears1: 2010–2011 College1: McKendree Bearcats Collegecaps1: 18 Collegegoals1: 23 Collegeyears2: 2012–2013 College2: Bowling Green Falcons Collegecaps2: 39 Collegegoals2: 12 Years1: 2012 Clubs1: Michigan Bucks Caps1: 13 Goals1: 7 Years2: 2014–2015 Clubs2: Seacoast United Phantoms Caps2: 22 Goals2: 26 Years3: 2014–2015 Clubs3: Syracuse Silver Knights (indoor) Caps3: 14 Goals3: 12 Years4: 2015–2017 Clubs4: Richmond Kickers Caps4: 45 Goals4: 3 Years5: 2015–2016 Clubs5: → UWI (loan) Goals5: 3 Years6: 2017–2019 Clubs6: Kansas City Comets (indoor) Caps6: 35 Goals6: 34 Years7: 2019 Clubs7: Stumptown Athletic Caps7: 2 Goals7: 0 Years8: 2020 Clubs8: St. Louis Ambush (indoor) Caps8: 6 Goals8: 5 Nationalyears1: 2012–2013 Nationalteam1: Jamaica U23 Pcupdate: 22 January 2022', 'Brian Grant Name: Brian Grant Birth Date: March 5, 1972 Birth Place: Columbus, Ohio, U.S. Height Ft: 6 Height In: 9 Weight Lb: 254 High School: Georgetown (Georgetown, Ohio) College: Xavier (1990–1994) Draft Year: 1994 Draft Round: 1 Draft Pick: 8 Draft Team: Sacramento Kings Career Start: 1994 Career End: 2006 Career Position: Power forward / center Career Number: 33, 44, 55 Years1: – Team1: Sacramento Kings Years2: – Team2: Portland Trail Blazers Years3: – Team3: Miami Heat Team4: Los Angeles Lakers Team5: Phoenix Suns Highlights: * NBA All-Rookie First Team  * J. Walter Kennedy Citizenship Award  * 2× MCC Player of the Year (1993, 1994) * 2× First-team All-MCC (1993, 1994) * 2× Second-team All-MCC (1991, 1992) * No. 33 retired by Xavier Musketeers Stats League: NBA Stat1Label: Points Stat1Value: 7,933 (10.5 ppg) Stat2Label: Rebounds Stat2Value: 5,622 (7.4 rpg) Stat3Label: Assists Stat3Value: 923 (1.2 apg)']"
"List all positions Oleksandr Turchynov, also known as Oleksandr Valentynovych Turchynov, held from 2010 to 2020.","Office: of the National Security and Defence Council President: Petro Poroshenko Office2X si Name: Oleksandr Danylyuk Image: Flight workX some This since from: tourism, as since: serviceX as since up: serviceuk The alorsX because Oleh Shamshur in 2014 Office: Ambassador of Ukraine to FranceXul Ol myandr Kupchyshyn Office2: Permanent Representative of UkraineXul professionalTU gut farr Unitup Diesh in: OleksandX","[""Oleksandr Turchynov Name: Oleksandr Turchynov Native Name: Олександр Турчинов Native Name Lang: uk Image: Oleksandr Turchynov in August 2014.jpg Caption: Turchynov in 2014 Office: Secretary of the National Security and Defence Council President: Petro Poroshenko Term Start: 16 December 2014 Term End: 19 May 2019 Predecessor: Andriy Parubiy Successor: Oleksandr Danylyuk Office1: President of Ukraine Order1: Acting Primeminister1: Himself (acting) Arseniy Yatsenyuk Term Start1: 23 February 2014 Term End1: 7 June 2014 Predecessor1: Viktor Yanukovych Successor1: Petro Poroshenko Office2: Prime Minister of Ukraine Order2: Acting President2: Himself (acting) Term Start2: 22 February 2014 Term End2: 27 February 2014 Predecessor2: Serhiy Arbuzov (acting) Successor2: Arseniy Yatsenyuk President3: Viktor Yanukovych Term Start3: 4 March 2010 Term End3: 11 March 2010 Predecessor3: Yulia Tymoshenko Successor3: Mykola Azarov Office4: Director of the Security Service of Ukraine Primeminister4: Yulia Tymoshenko Term Start4: 4 February 2005 Term End4: 8 September 2005 Predecessor4: Ihor Smeshko Successor4: Ihor Drizhchanyi President4: Viktor Yushchenko Office5: Chairman of the Verkhovna Rada Term Start5: 22 February 2014 Term End5: 27 November 2014 Predecessor5: Volodymyr Rybak Successor5: Volodymyr Groysman Office6: People's Deputy of Ukraine Term Start6: 12 May 1998 Term End6: 19 December 2007 Constituency6: Hromada, No. 12 (1998–2002)   Batkivshchyna, No. 7 (2002–2005)   Batkivshchyna, No. 2 (2005–2007) Term Start7: 12 December 2012 Term End7: 14 January 2015 Constituency7: Batkivshchyna, No. 4 (2012–2015)   People's Front, No. 3 Birth Date: March 31, 1964 Birth Place: Dnipropetrovsk, Ukrainian SSR, Soviet Union (now Dnipro, Ukraine) Party: European Solidarity (2020-present ) Otherparty: Communist Party of the Soviet Union (1987-1991)  Hromada (1994–1999)  Batkivshchyna (1999–2014)  Yulia Tymoshenko Bloc (2001–2012)  Dictatorship Resistance Committee (2011–2014)  People's Front (2014-2019) Spouse: Hanna Turchynova Children: Kyrylo Alma Mater: National Metallurgical Academy of Ukraine Allegiance: 🇺🇦 Website: Official website Signature: Oleksandr Turchynov Signature 2014.png"", 'Oleksandr Danylyuk Name: Oleksandr Danylyuk Image: Олександр Данилюк.jpg Office: Secretary of the National Security and Defense Council President: Volodymyr Zelensky Term Start: 28 May 2019 Term End: 30 September 2019 Predecessor: Oleksandr Turchynov Successor: Oleksiy Danilov Office2: Minister of Finance of Ukraine Primeminister2: Volodymyr Groysman Term Start2: 14 April 2016 Term End2: 7 June 2018 Predecessor2: Natalie Jaresko Successor2: Oksana Markarova Birth Date: July 22, 1975 Birth Place: Grigoriopol, Moldavian SSR, Soviet Union (now Moldova) Party: Independent Alma Mater: Kyiv Polytechnic Institute Indiana University, Bloomington Occupation: Politician / Investment Banker Native Name: Олександр Данилюк Native Name Lang: uk', 'Oleh Shamshur Name: Oleh Shamshur Image: Oleh Shamshur.jpg Caption: Shamshur in 2014 Office: Ambassador of Ukraine to France Term Start: 2014 Term End: 2020 President1: Petro Poroshenko Primeminister: Arseniy Yatsenyuk Predecessor: Oleksandr Kupchyshyn Office2: Permanent Representative of Ukraine to UNESCO Term Start2: 2014 Term End2: 2020 President2: Petro Poroshenko Predecessor2: Olexander Kupchyshyn Office3: Ambassador of Ukraine to the United States Term Start3: 2005 Term End3: 2010 President3: Viktor Yushchenko Predecessor3: Sergiy Korsunsky Successor3: Olexander Motsyk Birth Date: July 6, 1956 Birth Place: Kyiv Nationality: 🇺🇦 Alma Mater: Kiev University Profession: historian Native Name Lang: uk Native Name: Олег Шамшур']"
List all political parties Paul Murphy was a member of from 2010 to 2020.,Democratic,"['Noel Murphy (politician) Name: Noel Murphy Birth Date: December 15, 1915 Birth Place: London, England Death Date: March 10, 2005 Death Place: Corner Brook, Newfoundland and Labrador Residence: Corner Brook, Newfoundland and Labrador Office1: MHA for Humber East Term Start1: 1962 Term End1: 1966 Successor1: Clyde Wells Party: Progressive Conservative', 'James M. Murphy (New Hampshire politician) Name: James M. Murphy State House: New Hampshire District: Grafton 12th Term Start: December 2, 2020 Party: Democratic', 'Paul Murphy (Irish politician) Honorific-Suffix: TD Image: Paul Murphy 2016.jpg Caption: Murphy in 2016 Office: Teachta Dála Term Start: October 2014 Constituency: Dublin South-West Office1: Member of the European Parliament Term Start1: 6 April 2011 Term End1: 24 May 2014 Constituency1: Dublin Birth Date: April 13, 1983 Birth Place: Goatstown, Dublin, Ireland Nationality: Irish Party: RISE  People Before Profit  People Before Profit–Solidarity Otherparty: Socialist Party (2001–2019) Partner: Jess Spear Children: 1 Alma Mater: University College Dublin']"
"List all sports teams Andy Carroll, also known as Andrew Thomas Carroll, played for from 2010 to 2020.",Geelong Football Club,"['Joseph Carroll (footballer) Name: Joseph Carroll Position: Left half Years1: 1919–1920 Clubs1: Bradford City Caps1: 1 Goals1: 0', 'Jim Carroll (American football) Name: Jim Carroll Birth Date: May 6, 1943 Birth Place: Jonesboro, Arkansas, U.S. Number: 60, 59, 55 Position1: Linebacker College: Notre Dame Nfldraftedyear: 1965 Nfldraftedround: 12 Nfldraftedpick: 155 Playing Years1: 1965–66 Playing Team1: New York Giants Playing Years2: 1966–68 Playing Team2: Washington Redskins Playing Years3: 1969 Playing Team3: New York Jets Career Highlights: * National champion (1964) * Third-team All-American (1964) Nfl: CAR520689 Databasefootball: CARROJIM01', 'Andy Carroll (Australian footballer) Name: Andy Carroll Fullname: Andrew William George Carroll Birth Date: July 19, 1906 Birth Place: Geelong, Victoria Death Date: December 30, 1970 Death Place: Newtown, Victoria Statsend: 1929 Years1: 1928–1929 Games Goals1: 10 (3)']"
"List all heads of the government of Newfoundland and Labrador, also known as NL, from 2013 to 2020 ","Premier potting 2019- 19 August 2020 Pm2: Hon. Andrew Furey Pmterm2: 19 August 44 Pm $10,000: HonX June 2019c actually January 15, 2021 Lo: Ches Crosbie Loterm: 10 June 2019- January 15, Klu21 Party: Liberal Party Party2: Progressive Conservative Party Party Party Party3: New Democratic Party Sessionbebegin: 10","[""Government of Newfoundland and Labrador Background Color: #24135f Government Name: Government of Newfoundland and Labrador Border: provincial Image: NFLD Government logo.svg Image Size: 250px Caption: Official logo of the Government of Newfoundland and Labrador Date Established: March 31, 1949 State: Newfoundland and Labrador Country: Canada Leader Title: Premier Andrew Furey Appointed: Lieutenant Governor Joan Marie Aylward Main Organ: Executive Council Responsible: House of Assembly Address: St. John's Url: https://www.gov.nl.ca/"", ""Premier of Newfoundland and Labrador Post: Premier Body: Newfoundland and Labrador Native Name: Premier ministre de Terre-Neuve-et-Labrador Image: Andrew Furey 2023.png Imagesize: 200px Imagecaption: Furey in 2020 Incumbent: Andrew Furey Incumbentsince: August 19, 2020 Department: Office of the Premier Status: Head of Government Member Of: House Assembly · Executive Council Reports To: House Assembly · Lieutenant Governor Seat: Confederation Building, East Block, St. John's Appointer: Lieutenant Governor of Newfoundland and Labrador Appointer Qualified: with the confidence of the Newfoundland and Labrador Legislature Termlength: At Majesty's pleasure Termlength Qualified: contingent on the premier's ability to command confidence in the legislative assembly Formation: April 1, 1949 First: Joey Smallwood Deputy: Deputy premier of Newfoundland and Labrador Salary: $95,357 plus $39,514 (indemnity and allowances) Website: Office of the Premier"", '49th General Assembly of Newfoundland and Labrador Jurisdiction: NL Type: Minority Status: inactive Term-Begin: 10 June 2019 Term-End: 15 January 2021 Pm: Hon. Dwight Ball Pmterm: 10 June 2019 - 19 August 2020 Pm2: Hon. Andrew Furey Pmterm2: 19 August 2020 - January 15, 2021 Lo: Ches Crosbie Loterm: 10 June 2019 - January 15, 2021 Party: Liberal Party Party2: Progressive Conservative Party Party3: New Democratic Party Sessionbegin: 10 June 2019 Sessionend: 15 January 2021 Monarch: Elizabeth II Monarchterm: 6 February 1952 – present Members: 40 Lastparl: 48th Nextparl: 50th']"
"List all employers Samy Azer, also known as Samy A Azer, worked for from 2010 to 2020.",University of Sydney UNSW Sydney,"['Samy Azer Name: Professor Samy Azer Profession: Professor, Physician, Author, medical educator Specialism: Problem-based learning Alma Mater: The University of Sydney  UNSW Sydney', 'Sam Ayoub Name: Sam Ayoub Nationality: Australian Occupation: manager', 'Sam Marcy Name: Sam Marcy Office: Chairman of the Workers World Party Term Start: 1959 Term End: February 1, 1998 Birth Date: 1911 Birth Place: Russian Empire Death Date: February 1, 1998 Death Place: New York City, U.S. Nationality: American Occupation: Political activist · writer Party: Workers World Party (after 1959) Spouse: Dorothy Ballan Otherparty: Socialist Workers Party (1940s–1959) Communist Party USA (until 1940s)']"
"List all positions Leo Varadkar, also known as Leo Eric Varadkar, held from 2010 to 2020.",President of India,"['Ján Varga Name: Ján Varga Fullname: Ján Varga Birth Date: July 21, 1990 Birth Place: Levice, Czechoslovakia Currentclub: FK Slovan Levice Position: Striker Youthclubs1: MFK Dubnica Years1: 2011–2012 Clubs1: Dubnica Caps1: 24 Goals1: 2 Years2: 2012– Clubs2: Levice Pcupdate: 1 June 2012', 'D. Bala Venkatesh Varma Office: Ambassador of India to Russia Office2: Ambassador of India to Spain Successor2: Sanjay Verma Predecessor: Pankaj Saran Birth Date: October 16, 1961 Successor: Pavan Kapoor Termstart: 2019 Termend: 2021 Termend2: 2019 Termstart2: 2017', 'Kennedy Odhiambo Name: Kennedy Odhiambo Position: Defender Years1: 2000–2002 Clubs1: Oserian Fastac Years2: 2004–2005 Clubs2: Chemelil Sugar Years3: 2005–2006 Clubs3: World Hope Nationalyears1: 2000–2001 Nationalteam1: Kenya Nationalcaps1: 9 Nationalgoals1: 0']"
List all coaches of Belarus national under-21 football team from 2010 to 2020,иалови иалови,"[""Belarus women's national football team Type: Women Name: Belarus Badge: Football Federation of Belarus logo.svg Badge Size: 150px Fifa Trigramme: BLR Association: Football Federation of Belarus (Беларуская фэдэрацыя па футболу) Confederation: UEFA (Europe) Coach: Eduard Demenkovets Captain: Oksana Shpak Most Caps: Anna Pilipenko (41) Top Scorer: Anna Pilipenko (10) Fifa Max: 37 Fifa Max Date: December 2011; August 2012 Fifa Min: 57 Fifa Min Date: March 2023 – March 2024 Leftarm1: FF0000 Body1: FF0000 Rightarm1: FF0000 Shorts1: 008000 Socks1: FF0000 Pattern La2: _BLRwomen14a Pattern B2: _BLRwomen14a Pattern Ra2: _BLRwomen14a Pattern Sh2: _BLRwomen14a Pattern So2: _BLRwomen14a First Game: 3–0 (Kędzierzyn-Koźle, Poland; 4 November 1995) Largest Win: 0–7 (Valga, Estonia; 17 May 2000)  8–1  (Minsk, Belarus; 25 August 2004) Largest Loss: 8–0 (Kyiv, Ukraine; 2 August 2014)  8–0  (18 September 2015)"", 'Belarus national football team Name: Belarus Badge: Football Federation of Belarus logo.svg Badge Size: 150px Fifa Trigramme: BLR Nickname: Белыя крылы / Bielyia kryly (The White Wings) Association: Football Federation of Belarus Confederation: UEFA (Europe) Coach: Carlos Alós Captain: Yevgeny Yablonsky Most Caps: Alyaksandr Kulchy (102) Top Scorer: Maksim Romaschenko (20) Home Stadium: Dinamo Stadium, Minsk Fifa Max: 36 Fifa Max Date: February 2011 Fifa Min: 142 Fifa Min Date: March 1994 Elo Max: 47 Elo Max Date: 17 November 2010 Elo Min: 122 Elo Min Date: 1997–1998 Pattern La1: _blr22h Pattern B1: _blr22h Pattern Ra1: _blr22h Leftarm1: 810000 Body1: 810000 Rightarm1: 810000 Shorts1: 810000 Socks1: 810000 Pattern La2: _blr22a Pattern B2: _blr22a Pattern Ra2: _blr22a Leftarm2: 80FFD5 Body2: 80FFD5 Rightarm2: 80FFD5 Shorts2: 80FFD5 Socks2: 80FFD5 First Game: Unofficial: 🇱🇹 lithuania 1–1  (Vilnius, Lithuania; 20 July 1992) Official: 🇧🇾 belarus 1–1  (Minsk, Belarus; 28 October 1992) Largest Win: 🇧🇾 belarus 5–0  (Minsk, Belarus; 7 June 1998) 🇧🇾 belarus 6–1  (Borisov, Belarus; 4 September 2014) 🇧🇾 belarus 5–0  (Minsk, Belarus; 8 September 2018) Largest Loss: 🇧🇪 belgium 8–0  (Leuven, Belgium; 30 March 2021)', 'Vladislav Borisenko Name: Vladislav Borisenko Birth Date: March 5, 1997 Birth Place: Kalinkovichi, Gomel Oblast, Belarus Height: 1.80m Currentclub: Vertikal Kalinkovichi Position: Defender Youthyears1: 2010–2013 Youthclubs1: Minsk Youthyears2: 2014–2016 Youthclubs2: Dinamo Minsk Years1: 2016–2017 Years2: 2017 Years3: 2018 Years4: 2018 Years5: 2019 Years6: 2020 Years7: 2021– Clubs1: Slavia Mozyr Clubs2: → Naftan Novopolotsk (loan) Clubs3: Lida Clubs4: Chist Clubs5: Slonim-2017 Clubs6: Granit Mikashevichi Clubs7: Vertikal Kalinkovichi Caps1: 16 Caps2: 3 Caps3: 7 Caps4: 4 Caps5: 11 Caps6: 15 Caps7: 24 Goals1: 0 Goals2: 0 Goals3: 0 Goals4: 0 Goals5: 0 Goals6: 1 Goals7: 2 Nationalyears1: 2017 Nationalteam1: Belarus U21 Nationalcaps1: 1 Nationalgoals1: 0 Pcupdate: 31 December 2023']"
"List all sports teams Joe Ledley, also known as Joseph Christopher Ledley, played for from 2010 to 2020.",New York Jets,"['Joe Szekely Name: Joe Szekely Position: Rightfielder Bats: Right Throws: Right Birth Date: February 2, 1925 Birth Place: Cleveland, Ohio Death Date: October 16, 1995 Death Place: Paris, Texas Debutleague: MLB Debutdate: September 13 Debutyear: 1953 Debutteam: Cincinnati Redlegs Finalleague: MLB Finaldate: September 27 Finalyear: 1953 Finalteam: Cincinnati Redlegs Statleague: MLB Stat1Label: Batting average Stat1Value: .077 Stat2Label: Home runs Stat2Value: 0 Stat3Label: Runs batted in Stat3Value: 0 Teams: *Cincinnati Redlegs (1953)', 'Joe Gormley (baseball) Name: Joe Gormley Position: Pitcher Birth Date: December 20, 1866 Birth Place: Summit Hill, Pennsylvania, U.S. Death Date: July 2, 1950 Death Place: Summit Hill, Pennsylvania, U.S. Bats: Left Throws: Left Debutleague: MLB Debutdate: June 16 Debutyear: 1891 Debutteam: Philadelphia Phillies Finalleague: MLB Finaldate: June 16 Finalyear: 1891 Finalteam: Philadelphia Phillies Statleague: MLB Stat1Label: Pitching record Stat1Value: 0-1 Stat2Label: Strikeouts Stat2Value: 2 Stat3Label: ERA Stat3Value: 5.63 Teams: *Philadelphia Phillies (1891)', 'Joe Just Name: Joe Just Position: Catcher Bats: Right Throws: Right Birth Date: January 8, 1916 Birth Place: Milwaukee, Wisconsin, U.S. Death Date: November 22, 2003 Death Place: Franklin, Wisconsin, U.S. Debutleague: MLB Debutdate: May 13 Debutyear: 1944 Debutteam: Cincinnati Reds Finalleague: MLB Finaldate: May 13 Finalyear: 1945 Finalteam: Cincinnati Reds Statleague: MLB Stat1Label: Batting average Stat1Value: .159 Stat2Label: Home runs Stat2Value: 0 Stat3Label: Runs batted in Stat3Value: 2 Teams: * Cincinnati Reds (1944–1945)']"
List all political parties Laurențiu Rebega was a member of from 2010 to 2020.,PRO Romania party OtherpartyXțiu Rebega,"['Hlomane Chauke Office: Member of the North West Executive Council for Sports, Arts and Culture Termstart: 25 November 2010 Party: African National Congress Citizenship: South Africa Premier: Thandi Modise Termend: 3 May 2012 Successor: Tebogo Modise Predecessor: Grace Pampiri-Bothman Otherparty: South African Communist Party', 'Laurențiu Rebega Name: Laurențiu Constantin Rebega Honorific-Suffix: MEP Image: Rebega156.jpg Constituency Mp: Romania Parliament: European Term Start: May 2014 Birth Date: February 20, 1976 Birth Place: Vălenii de Munte, Prahova County, Romania Nationality: Romanian Party: PRO Romania party Otherparty: Romanian Conservative Party (2010–2015) Alma Mater: USAMV, Bucharest, Romania Occupation: Politician Profession: Engineer Website: http://www.laurentiurebega.ro/', 'Carlos Reutemann Name: Carlos Reutemann Image: Reutemann 1981.jpg Caption: Reutemann at Monza in 1981 Office: National Senator for Santa Fe Term Start: 10 December 2003 Term End: 7 July 2021 Predecessor: Oscar Lambert Successor: Alexandra Vucasovich Term Start1: 10 December 1995 Term End1: 10 December 1999 Predecessor1: Louis Rubeo Successor1: Arturo Rolando di Pietro Order2: Governor of Santa Fe Term Start2: 10 December 1999 Term End2: 10 December 2003 Lieutenant2: Marcelo Muniagurria Predecessor2: Jorge Obeid Successor2: Jorge Obeid Term Start3: 10 December 1991 Term End3: 10 December 1995 Lieutenant3: Miguel Angel Robles Predecessor3: Víctor Reviglio Successor3: Jorge Obeid Party: Justicialist Party Otherparty: Cambiemos (2015–2019) Nationality: Argentine Birth Date: April 12, 1942 Birth Place: Santa Fe, Argentina Death Date: July 7, 2021 Death Place: Santa Fe, Argentina Years: – Team(S): Brabham, Ferrari, Lotus, Williams Races: 146 Championships: 0 Wins: 12 Podiums: 45 Points: 298 (310) Poles: 6 Fastest Laps: 6 First Race: 1972 Argentine Grand Prix First Win: 1974 South African Grand Prix Last Win: 1981 Belgian Grand Prix Last Race: 1982 Brazilian Grand Prix Years: 1980, 1985 Teams: Fiat Italia, Peugeot Talbot Sport Races: 2 Championships: 0 Wins: 0 Podiums: 2 Stagewins: 1 Points: 24 First Race: 1980 Rally Argentina Last Race: 1985 Rally Argentina']"
