question,response,examples
"List all sports teams Anthony Grant, also known as Anthony Paul Shaun Andrew Daure Grant, played for from 2010 to 2020.","New Orleans Pelicans (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); New Orleans Saints (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); New Orleans Saints (2019, 2020); New Orleans Saints (2019, 2020); New Orleans Saints (2019, 2020); New Orleans Saints (2019, 2020); New Orleans Saints (2019, 2020); New Orleans Saints (2019, 2020)","Example:
  Question: List all sports teams Anthony Davis, also known as Anthony Marshon Davis Jr., played for from 2011 to 2020.
  Answer: Kentucky Wildcats men's basketball (2011, 2012); New Orleans Pelicans (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019); Los Angeles Lakers (2019, 2020)
Example:
  Question: List all sports teams Ben Stokes, also known as Benjamin Andrew Stokes, played for from 2013 to 2020.
  Answer: England cricket team (2013, 2014, 2015, 2016, 2017, 2018); Melbourne Renegades (2015); Canterbury cricket team (2017); Rising Pune Supergiant (2017); Rajasthan Royals (2018, 2019, 2020)
Example:
  Question: List all sports teams Anthony Annan played for from 2010 to 2020.
  Answer: Ghana national football team (2010, 2011, 2012, 2013); Rosenborg BK (2010, 2011); SBV Vitesse (2011, 2012); FC Schalke 04 (2011, 2012, 2013, 2014); Club Atlético Osasuna (2012, 2013); Helsingin Jalkapalloklubi (2014, 2015, 2016, 2017, 2018, 2019, 2020); Stabæk Fotball (2015); TSV 1860 München (2015)"
"List all positions Oleksandr Turchynov, also known as Oleksandr Valentynovych Turchynov, held from 2010 to 2020.","Oleksandr Turchynov (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Oleksandr Turchynov (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Oleksandr Turchynov (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all positions Mette Frederiksen held from 2011 to 2020.
  Answer: Minister for Employment (2011, 2012, 2013, 2014); Justice Minister of Denmark (2014, 2015); Prime Minister of Denmark (2019, 2020)
Example:
  Question: List all positions Piyush Goyal, also known as Piyush Vedprakash Goyal, held from 2010 to 2020.
  Answer: Member of Rajya Sabha (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Ministry of Power (2014, 2015, 2016, 2017); Ministry of Mines (2016, 2017); Minister of Coal (2017, 2018, 2019, 2020); Minister of Railways (2017, 2018, 2019, 2020); Ministry of Corporate Affairs (2019); Minister of Finance (2019)
Example:
  Question: List all positions Arseniy Yatsenyuk, also known as Arseniy Petrovych Yatsenyuk, held from 2010 to 2016.
  Answer: People's Deputy of Ukraine (2010, 2011, 2012, 2013, 2014); Prime Minister of Ukraine (2014, 2015, 2016)"
List all political parties Paul Murphy was a member of from 2010 to 2020.,"Teachta Dála (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Teachta Dála (2020); Paul Murphy (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all positions Paul Murphy held from 2011 to 2020.
  Answer: member of the European Parliament (2011, 2012, 2013, 2014); Teachta Dála (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Per Sandberg was a member of from 2010 to 2020.
  Answer: Progress Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Liberalist Party (2020)
Example:
  Question: List all political parties Jamal Zahalka was a member of from 2010 to 2020.
  Answer: Balad (2010, 2011, 2012, 2013, 2014, 2015); Joint List (2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Andy Carroll, also known as Andrew Thomas Carroll, played for from 2010 to 2020.","Manchester City F.C. (2010, 2011, 2012); Manchester City F.C. (2012, 2013, 2014); Manchester City F.C. (2014, 2015, 2016, 2017, 2018, 2019, 2020); Manchester City F.C. (2020); Manchester City F.C. (2019, 2020); Manchester City F.C. (2020); Manchester City F.C. (2019, 2020); Manchester City F.C. (2020); Manchester City F.C. (2019, 2020); Manchester City F.C. (2020); Manchester City F.C. (2020)","Example:
  Question: List all sports teams Kenny Miller, also known as Kenneth Miller, played for from 2010 to 2020.
  Answer: Scotland national football team (2010, 2011, 2012, 2013); Rangers F.C. (2010, 2011, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Cardiff City F.C. (2011, 2012); Bursaspor (2011); Vancouver Whitecaps FC (2012, 2013, 2014)
Example:
  Question: List all sports teams Andy Lonergan, also known as Andrew Michael Lonergan, played for from 2010 to 2020.
  Answer: Preston North End F.C. (2010, 2011); Leeds United F.C. (2011, 2012); Bolton Wanderers F.C. (2012, 2013, 2014, 2015); Fulham F.C. (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all sports teams Greg Pearson played for from 2010 to 2020.
  Answer: Burton Albion F.C. (2010, 2011, 2012); Aldershot Town F.C. (2011, 2012); Crewe Alexandra F.C. (2012); Grimsby Town F.C. (2012, 2013); Hednesford Town F.C. (2013); Nuneaton Borough F.C. (2013, 2014); Kidderminster Harriers F.C. (2013); Brackley Town F.C. (2014, 2015); Halesowen Town F.C. (2015); Hinckley A.F.C. (2015, 2016, 2017, 2018, 2019, 2020); Bishop's Stortford F.C. (2015)"
"List all heads of the government of Newfoundland and Labrador, also known as NL, from 2013 to 2020 ","John McKinley (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); John McKinley (2015, 2016, 2017, 2018, 2019, 2020); John McKinley (2020)","Example:
  Question: List all heads of the government of Canada, also known as CAN, from 2010 to 2020 
  Answer: Stephen Harper (2010, 2011, 2012, 2013, 2014, 2015); Justin Trudeau (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all heads of the government of Ontario, also known as ONT, from 2013 to 2020 
  Answer: Kathleen Wynne (2013, 2014, 2015, 2016, 2017, 2018); Doug Ford (2018, 2019, 2020)
Example:
  Question: List all heads of the government of Quebec, also known as Québec, from 2010 to 2020 
  Answer: Jean Charest (2010, 2011, 2012); Pauline Marois (2012, 2013, 2014); Philippe Couillard (2014, 2015, 2016, 2017, 2018); François Legault (2018, 2019, 2020)"
"List all employers Samy Azer, also known as Samy A Azer, worked for from 2010 to 2020.","Azer (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Azer (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","Example:
  Question: List all employers Samara L Reck-Peterson, also known as Samara Reck-Peterson, worked for from 2015 to 2020.
  Answer: University of California, San Diego (2015, 2016, 2017, 2018, 2019, 2020); Howard Hughes Medical Institute (2018, 2019, 2020)
Example:
  Question: List all employers Armen Amiryan, also known as Amiryan, Armen, worked for from 2010 to 2015.
  Answer: Armenian State Pedagogical University (2010, 2011, 2012, 2013); Public Radio of Armenia (2010, 2011, 2012, 2013, 2014, 2015)
Example:
  Question: List all employers Tirdad Zolghadr worked for from 2010 to 2020.
  Answer: Center for Curatorial Studies, Bard College (2010, 2011, 2012, 2013); International Academy of Art Palestine (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Leo Varadkar, also known as Leo Eric Varadkar, held from 2010 to 2020.","President of India (2010, 2011, 2012, 2013, 2014); Minister of State for Home Affairs (2010, 2011, 2012, 2013, 2014); Minister of State for Home Affairs (2014, 2015, 2016, 2017, 2018, 2019, 2020); Minister of State for Home Affairs (2015, 2016, 2017, 2018, 2019, 2020); Minister of State for Home Affairs (2020)","Example:
  Question: List all positions Robert Wexler, also known as Robert Ira Wexler, held from 2010 to 2020.
  Answer: diplomat (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); United States representative (2010)
Example:
  Question: List all positions Prakash Javadekar, also known as Prakash Keshav Javadekar, held from 2014 to 2020.
  Answer: Minister of Information and Broadcasting (2014); Minister of Human Resource Development (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Mikheil Saakashvili, also known as Mikhail Saakashvili, held from 2010 to 2016.
  Answer: President of Georgia (2010, 2011, 2012, 2013); Odesa Regional Administration (2015, 2016)"
List all coaches of Belarus national under-21 football team from 2010 to 2020,"Bernd Stange (2010, 2011, 2012, 2013, 2014); Georgy Kondratyev (2010, 2011, 2012, 2013, 2014); Igor Kriushenko (2012, 2013, 2014); Mikhail Markhel (2015, 2016, 2017, 2018, 2019, 2020); Igor Kriushenko (2017, 2018, 2019, 2020); Igor Kriushenko (2017, 2018, 2019, 2020)","Example:
  Question: List all coaches of Belarus national under-19 football team from 2019 to 2020
  Answer: Uladzimir Karytska (2019, 2020); Andrei Zygmantovich (2020)
Example:
  Question: List all coaches of Belarus national football team, also known as Belarus national soccer team, from 2010 to 2020
  Answer: Bernd Stange (2010, 2011); Georgy Kondratyev (2011, 2012, 2013, 2014); Andrei Zygmantovich (2014); Alyaksandr Khatskevich (2014, 2015, 2016); Igor Kriushenko (2017, 2018, 2019); Mikhail Markhel (2019, 2020)
Example:
  Question: List all coaches of FC Minsk from 2016 to 2020
  Answer: Vyachaslaw Hryharaw (2019, 2020); Alyaksandar Lukhvich (2020, 2018); Georgy Kondratyev (2016, 2017); Andrey Razin (2019, 2020); Vadim Skripchenko (2020)"
"List all sports teams Joe Ledley, also known as Joseph Christopher Ledley, played for from 2010 to 2020.","Manchester United F.C. (2010, 2011, 2012); Liverpool F.C. (2010, 2011, 2012); Manchester United F.C. (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Manchester City F.C. (2019, 2020); Manchester City F.C. (2019, 2020)","Example:
  Question: List all sports teams Joe Cole, also known as Joseph John Cole, played for from 2010 to 2018.
  Answer: England national association football team (2010); Chelsea F.C. (2010); Liverpool F.C. (2010, 2011, 2012, 2013); Lille OSC (2011, 2012); West Ham United F.C. (2013, 2014); Aston Villa F.C. (2014, 2015, 2016); Coventry City F.C. (2015, 2016); Tampa Bay Rowdies (2016, 2017, 2018)
Example:
  Question: List all sports teams Tom Cleverley, also known as Thomas William Cleverley, played for from 2010 to 2020.
  Answer: Watford F.C. (2010); Wigan Athletic F.C. (2010, 2011); England national under-21 association football team (2010, 2011); Manchester United F.C. (2010, 2011, 2012, 2013, 2014, 2015); England national association football team (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Great Britain olympic football team (2012); Aston Villa F.C. (2014, 2015); Everton F.C. (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all sports teams Lewis Hamilton, also known as Lewis Carl Davidson Hamilton, played for from 2010 to 2020.
  Answer: McLaren (2010, 2011, 2012); Mercedes F1 Team (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all political parties Laurențiu Rebega was a member of from 2010 to 2020.,"Liberal Movement (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Tobwaan Kiribati Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Tobwaan Kiribati Moa Party (2020); Tobwaan Kiribati Party (2020)","Example:
  Question: List all political parties Remigijus Šimašius was a member of from 2010 to 2020.
  Answer: Liberal Movement (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Freedom Party (2019, 2020)
Example:
  Question: List all political parties Corina Crețu was a member of from 2010 to 2020.
  Answer: Social Democratic Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019); PRO Romania (2019, 2020)
Example:
  Question: List all political parties Banuera Berina was a member of from 2010 to 2020.
  Answer: Maurin Kiribati Pati (2010, 2011, 2012, 2013); Tobwaan Kiribati Party (2016, 2017, 2018, 2019); Kiribati First Party (2019, 2020); Boutokaan Kiribati Moa Party (2020)"
