question,response,context,examples
"List all sports teams Anthony Grant, also known as Anthony Paul Shaun Andrew Daure Grant, played for from 2010 to 2020.","The New Zealand national rugby union team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","['Anthony Grant (basketball) Name: Anthony Grant Image: Anthony Grant.jpg Caption: Grant arrives at Dayton in 2017 Birth Date: April 15, 1966 Birth Place: Miami, Florida, U.S. Nationality: American League: Atlantic 10 Conference Team: Dayton Flyers Position: Head coach High School: Miami (Miami, Florida) College: Dayton (1983–1987) Coach Start: 1987 Cyears1: 1987–1992 Cteam1: Miami HS (assistant) Cyears2: 1992–1993 Cteam2: Miami Central HS Cyears3: 1993–1994 Cteam3: Stetson (assistant) Cyears4: 1994–1996 Cteam4: Marshall (assistant) Cyears5: 1996–2006 Cteam5: Florida (assistant) Cyears6: 2006–2009 Cteam6: VCU Cyears7: 2009–2015 Cteam7: Alabama Cyears8: 2015–2017 Cteam8: Oklahoma City Thunder (assistant) Cyears9: 2017–present Cteam9: Dayton Highlights: *2× CAA tournament (2007, 2009) *3× CAA regular season (2007–2009) *SEC Western Division (2011) *A10 regular season (2020) *Naismith College Coach of the Year (2020) *AP National Coach of the Year (2020) *Henry Iba Award (2020) *NABC Coach of the Year (2020) *Sporting News National Coach of the Year (2020) *Atlantic 10 Coach of the Year (2020) *CAA Coach of the Year (2007)']","Example:
  Question: List all sports teams Anthony Davis, also known as Anthony Marshon Davis Jr., played for from 2011 to 2020.
  Answer: Kentucky Wildcats men's basketball (2011, 2012); New Orleans Pelicans (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019); Los Angeles Lakers (2019, 2020)
Example:
  Question: List all sports teams Ben Stokes, also known as Benjamin Andrew Stokes, played for from 2013 to 2020.
  Answer: England cricket team (2013, 2014, 2015, 2016, 2017, 2018); Melbourne Renegades (2015); Canterbury cricket team (2017); Rising Pune Supergiant (2017); Rajasthan Royals (2018, 2019, 2020)
Example:
  Question: List all sports teams Anthony Annan played for from 2010 to 2020.
  Answer: Ghana national football team (2010, 2011, 2012, 2013); Rosenborg BK (2010, 2011); SBV Vitesse (2011, 2012); FC Schalke 04 (2011, 2012, 2013, 2014); Club Atlético Osasuna (2012, 2013); Helsingin Jalkapalloklubi (2014, 2015, 2016, 2017, 2018, 2019, 2020); Stabæk Fotball (2015); TSV 1860 München (2015)
Example:
  Question: List all sports teams Andrew Bogut, also known as Andrew Michael Bogut, played for from 2010 to 2017.
  Answer: Milwaukee Bucks (2010, 2011, 2012); Golden State Warriors (2012, 2013, 2014, 2015, 2016); Dallas Mavericks (2016, 2017); Cleveland Cavaliers (2017)
Example:
  Question: List all sports teams Ben Simmons, also known as Benjamin Simmons, played for from 2015 to 2020.
  Answer: LSU Tigers men's basketball (2015, 2016); Philadelphia 76ers (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all sports teams Tim Southee, also known as Timothy Grant Southee, played for from 2010 to 2018.
  Answer: New Zealand national cricket team (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Chennai Super Kings (2011); Essex County Cricket Club (2011); Middlesex County Cricket Club (2017)
Example:
  Question: List all sports teams Alexander Kačaniklić played for from 2010 to 2020.
  Answer: Fulham F.C. (2010, 2011, 2012, 2013); Watford F.C. (2012); Sweden national association football team (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Burnley F.C. (2013); F.C. Copenhagen (2014)"
"List all positions Oleksandr Turchynov, also known as Oleksandr Valentynovych Turchynov, held from 2010 to 2020.","Deputy of Ukraine (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","[""Oleksandr Turchynov Name: Oleksandr Turchynov Native Name: Олександр Турчинов Native Name Lang: uk Image: Oleksandr Turchynov in August 2014.jpg Caption: Turchynov in 2014 Office: Secretary of the National Security and Defence Council President: Petro Poroshenko Term Start: 16 December 2014 Term End: 19 May 2019 Predecessor: Andriy Parubiy Successor: Oleksandr Danylyuk Office1: President of Ukraine Order1: Acting Primeminister1: Himself (acting) Arseniy Yatsenyuk Term Start1: 23 February 2014 Term End1: 7 June 2014 Predecessor1: Viktor Yanukovych Successor1: Petro Poroshenko Office2: Prime Minister of Ukraine Order2: Acting President2: Himself (acting) Term Start2: 22 February 2014 Term End2: 27 February 2014 Predecessor2: Serhiy Arbuzov (acting) Successor2: Arseniy Yatsenyuk President3: Viktor Yanukovych Term Start3: 4 March 2010 Term End3: 11 March 2010 Predecessor3: Yulia Tymoshenko Successor3: Mykola Azarov Office4: Director of the Security Service of Ukraine Primeminister4: Yulia Tymoshenko Term Start4: 4 February 2005 Term End4: 8 September 2005 Predecessor4: Ihor Smeshko Successor4: Ihor Drizhchanyi President4: Viktor Yushchenko Office5: Chairman of the Verkhovna Rada Term Start5: 22 February 2014 Term End5: 27 November 2014 Predecessor5: Volodymyr Rybak Successor5: Volodymyr Groysman Office6: People's Deputy of Ukraine Term Start6: 12 May 1998 Term End6: 19 December 2007 Constituency6: Hromada, No. 12 (1998–2002)   Batkivshchyna, No. 7 (2002–2005)   Batkivshchyna, No. 2 (2005–2007) Term Start7: 12 December 2012 Term End7: 14 January 2015 Constituency7: Batkivshchyna, No. 4 (2012–2015)   People's Front, No. 3 Birth Date: March 31, 1964 Birth Place: Dnipropetrovsk, Ukrainian SSR, Soviet Union (now Dnipro, Ukraine) Party: European Solidarity (2020-present ) Otherparty: Communist Party of the Soviet Union (1987-1991)  Hromada (1994–1999)  Batkivshchyna (1999–2014)  Yulia Tymoshenko Bloc (2001–2012)  Dictatorship Resistance Committee (2011–2014)  People's Front (2014-2019) Spouse: Hanna Turchynova Children: Kyrylo Alma Mater: National Metallurgical Academy of Ukraine Allegiance: 🇺🇦 Website: Official website Signature: Oleksandr Turchynov Signature 2014.png""]","Example:
  Question: List all positions Mette Frederiksen held from 2011 to 2020.
  Answer: Minister for Employment (2011, 2012, 2013, 2014); Justice Minister of Denmark (2014, 2015); Prime Minister of Denmark (2019, 2020)
Example:
  Question: List all positions Piyush Goyal, also known as Piyush Vedprakash Goyal, held from 2010 to 2020.
  Answer: Member of Rajya Sabha (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Ministry of Power (2014, 2015, 2016, 2017); Ministry of Mines (2016, 2017); Minister of Coal (2017, 2018, 2019, 2020); Minister of Railways (2017, 2018, 2019, 2020); Ministry of Corporate Affairs (2019); Minister of Finance (2019)
Example:
  Question: List all positions Arseniy Yatsenyuk, also known as Arseniy Petrovych Yatsenyuk, held from 2010 to 2016.
  Answer: People's Deputy of Ukraine (2010, 2011, 2012, 2013, 2014); Prime Minister of Ukraine (2014, 2015, 2016)
Example:
  Question: List all positions Kyriakos Mitsotakis, also known as Mitsotakis, held from 2016 to 2020.
  Answer: Leader of the Opposition (2016, 2017, 2018, 2019); Prime Minister of Greece (2019, 2020)
Example:
  Question: List all positions Traian Băsescu held from 2010 to 2020.
  Answer: President of Romania (2010, 2011, 2012, 2013, 2014); member of the European Parliament (2019, 2020)
Example:
  Question: List all positions Milorad Dodik held from 2010 to 2020.
  Answer: President of Republika Srpska (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); list of presidents of Republika Srpska (2010); Chairman of the Presidency of Bosnia and Herzegovina (2018, 2019, 2020)
Example:
  Question: List all positions Thein Sein held from 2010 to 2016.
  Answer: Prime Minister of Myanmar (2010, 2011); President of Myanmar (2011, 2012, 2013, 2014, 2015, 2016)"
List all political parties Paul Murphy was a member of from 2010 to 2020.,"Teachta Dála (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","['Noel Murphy (politician) Name: Noel Murphy Birth Date: December 15, 1915 Birth Place: London, England Death Date: March 10, 2005 Death Place: Corner Brook, Newfoundland and Labrador Residence: Corner Brook, Newfoundland and Labrador Office1: MHA for Humber East Term Start1: 1962 Term End1: 1966 Successor1: Clyde Wells Party: Progressive Conservative']","Example:
  Question: List all positions Paul Murphy held from 2011 to 2020.
  Answer: member of the European Parliament (2011, 2012, 2013, 2014); Teachta Dála (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Per Sandberg was a member of from 2010 to 2020.
  Answer: Progress Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Liberalist Party (2020)
Example:
  Question: List all political parties Jamal Zahalka was a member of from 2010 to 2020.
  Answer: Balad (2010, 2011, 2012, 2013, 2014, 2015); Joint List (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Enrico Carattoni was a member of from 2010 to 2020.
  Answer: Sammarinese Socialist Party (2010, 2011, 2012, 2013, 2014, 2015, 2016); United Left (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties André Ventura was a member of from 2010 to 2020.
  Answer: Social Democratic Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Chega (2018, 2019, 2020)
Example:
  Question: List all political parties Scott Andrews was a member of from 2010 to 2020.
  Answer: Liberal Party of Canada (2010, 2011, 2012, 2013, 2014); independent politician (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Pavlos Polakis was a member of from 2010 to 2020.
  Answer: New Left Current (2010, 2011, 2012); SYRIZA (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Andy Carroll, also known as Andrew Thomas Carroll, played for from 2010 to 2020.","Manchester City F.C. (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)",['Joseph Carroll (footballer) Name: Joseph Carroll Position: Left half Years1: 1919–1920 Clubs1: Bradford City Caps1: 1 Goals1: 0'],"Example:
  Question: List all sports teams Kenny Miller, also known as Kenneth Miller, played for from 2010 to 2020.
  Answer: Scotland national football team (2010, 2011, 2012, 2013); Rangers F.C. (2010, 2011, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Cardiff City F.C. (2011, 2012); Bursaspor (2011); Vancouver Whitecaps FC (2012, 2013, 2014)
Example:
  Question: List all sports teams Andy Lonergan, also known as Andrew Michael Lonergan, played for from 2010 to 2020.
  Answer: Preston North End F.C. (2010, 2011); Leeds United F.C. (2011, 2012); Bolton Wanderers F.C. (2012, 2013, 2014, 2015); Fulham F.C. (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all sports teams Greg Pearson played for from 2010 to 2020.
  Answer: Burton Albion F.C. (2010, 2011, 2012); Aldershot Town F.C. (2011, 2012); Crewe Alexandra F.C. (2012); Grimsby Town F.C. (2012, 2013); Hednesford Town F.C. (2013); Nuneaton Borough F.C. (2013, 2014); Kidderminster Harriers F.C. (2013); Brackley Town F.C. (2014, 2015); Halesowen Town F.C. (2015); Hinckley A.F.C. (2015, 2016, 2017, 2018, 2019, 2020); Bishop's Stortford F.C. (2015)
Example:
  Question: List all sports teams Alan Smith played for from 2010 to 2020.
  Answer: Newcastle United F.C. (2010, 2011, 2012); Milton Keynes Dons F.C. (2012, 2013, 2014); Notts County F.C. (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all sports teams Andrew Bogut, also known as Andrew Michael Bogut, played for from 2010 to 2017.
  Answer: Milwaukee Bucks (2010, 2011, 2012); Golden State Warriors (2012, 2013, 2014, 2015, 2016); Dallas Mavericks (2016, 2017); Cleveland Cavaliers (2017)
Example:
  Question: List all sports teams David Dunn, also known as David John Ian Dunn, played for from 2010 to 2016.
  Answer: Blackburn Rovers F.C. (2010, 2011, 2012, 2013, 2014, 2015); Oldham Athletic A.F.C. (2015, 2016)
Example:
  Question: List all sports teams Scott Laird played for from 2010 to 2020.
  Answer: Stevenage F.C. (2010, 2011, 2012); Preston North End F.C. (2012, 2013, 2014, 2015); Scunthorpe United F.C. (2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Newfoundland and Labrador, also known as NL, from 2013 to 2020 ","François-Marie Lemaire (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","[""Government of Newfoundland and Labrador Background Color: #24135f Government Name: Government of Newfoundland and Labrador Border: provincial Image: NFLD Government logo.svg Image Size: 250px Caption: Official logo of the Government of Newfoundland and Labrador Date Established: March 31, 1949 State: Newfoundland and Labrador Country: Canada Leader Title: Premier Andrew Furey Appointed: Lieutenant Governor Joan Marie Aylward Main Organ: Executive Council Responsible: House of Assembly Address: St. John's Url: https://www.gov.nl.ca/""]","Example:
  Question: List all heads of the government of Canada, also known as CAN, from 2010 to 2020 
  Answer: Stephen Harper (2010, 2011, 2012, 2013, 2014, 2015); Justin Trudeau (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all heads of the government of Ontario, also known as ONT, from 2013 to 2020 
  Answer: Kathleen Wynne (2013, 2014, 2015, 2016, 2017, 2018); Doug Ford (2018, 2019, 2020)
Example:
  Question: List all heads of the government of Quebec, also known as Québec, from 2010 to 2020 
  Answer: Jean Charest (2010, 2011, 2012); Pauline Marois (2012, 2013, 2014); Philippe Couillard (2014, 2015, 2016, 2017, 2018); François Legault (2018, 2019, 2020)
Example:
  Question: List all heads of the government of Montreal, also known as Montréal, from 2010 to 2020 
  Answer: Gérald Tremblay (2010, 2011, 2012); Michael Applebaum (2012, 2013); Denis Coderre (2013, 2014, 2015, 2016, 2017); Laurent Blanchard (2013); Valérie Plante (2017, 2018, 2019, 2020)
Example:
  Question: List all heads of the government of Toronto, also known as City of Toronto, from 2010 to 2020 
  Answer: Rob Ford (2010, 2011, 2012, 2013, 2014); John Tory (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all heads of the government of Eugene, also known as Eugene, Oregon, from 2010 to 2020 
  Answer: Kitty Piercy (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017); Lucy Vinis (2017, 2018, 2019, 2020)
Example:
  Question: List all heads of the government of Caen from 2010 to 2020 
  Answer: Philippe Duron (2010, 2011, 2012, 2013, 2014); Joël Bruneau (2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Samy Azer, also known as Samy A Azer, worked for from 2010 to 2020.","University of Sydney (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","['Samy Azer Name: Professor Samy Azer Profession: Professor, Physician, Author, medical educator Specialism: Problem-based learning Alma Mater: The University of Sydney  UNSW Sydney']","Example:
  Question: List all employers Samara L Reck-Peterson, also known as Samara Reck-Peterson, worked for from 2015 to 2020.
  Answer: University of California, San Diego (2015, 2016, 2017, 2018, 2019, 2020); Howard Hughes Medical Institute (2018, 2019, 2020)
Example:
  Question: List all employers Armen Amiryan, also known as Amiryan, Armen, worked for from 2010 to 2015.
  Answer: Armenian State Pedagogical University (2010, 2011, 2012, 2013); Public Radio of Armenia (2010, 2011, 2012, 2013, 2014, 2015)
Example:
  Question: List all employers Tirdad Zolghadr worked for from 2010 to 2020.
  Answer: Center for Curatorial Studies, Bard College (2010, 2011, 2012, 2013); International Academy of Art Palestine (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Ari Kelman, also known as Ari Y. Kelman, worked for from 2010 to 2020.
  Answer: University of California, Davis (2010, 2011, 2012, 2013, 2014); Pennsylvania State University (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Maxim Oreshkin, also known as Maksim Oreshkin, worked for from 2010 to 2020.
  Answer: Rosbank (2010); VTB Capital (2012, 2013); Ministry of Finance of Russian Federation (2013, 2014, 2015, 2016); Government of Russia (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all employers Erica Chenoweth worked for from 2010 to 2020.
  Answer: Wesleyan University (2010, 2011, 2012); Josef Korbel School of International Studies (2012, 2013, 2014, 2015, 2016, 2017, 2018); Harvard University (2018, 2019, 2020)
Example:
  Question: List all employers Ingrid Schaffner worked for from 2010 to 2020.
  Answer: Institute of Contemporary Art, Philadelphia (2010, 2011, 2012, 2013, 2014, 2015); Carnegie International (2015, 2016, 2017, 2018, 2019); Chinati Foundation (2020)"
"List all positions Leo Varadkar, also known as Leo Eric Varadkar, held from 2010 to 2020.","Minister of Justice (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","['Ján Varga Name: Ján Varga Fullname: Ján Varga Birth Date: July 21, 1990 Birth Place: Levice, Czechoslovakia Currentclub: FK Slovan Levice Position: Striker Youthclubs1: MFK Dubnica Years1: 2011–2012 Clubs1: Dubnica Caps1: 24 Goals1: 2 Years2: 2012– Clubs2: Levice Pcupdate: 1 June 2012']","Example:
  Question: List all positions Robert Wexler, also known as Robert Ira Wexler, held from 2010 to 2020.
  Answer: diplomat (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); United States representative (2010)
Example:
  Question: List all positions Prakash Javadekar, also known as Prakash Keshav Javadekar, held from 2014 to 2020.
  Answer: Minister of Information and Broadcasting (2014); Minister of Human Resource Development (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions Mikheil Saakashvili, also known as Mikhail Saakashvili, held from 2010 to 2016.
  Answer: President of Georgia (2010, 2011, 2012, 2013); Odesa Regional Administration (2015, 2016)
Example:
  Question: List all positions Dmitry Medvedev, also known as Dima Medvedev, held from 2010 to 2020.
  Answer: President of Russia (2010, 2011, 2012); Prime Minister of Russia (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all positions André Bachand, also known as Andre Bachand, held from 2010 to 2020.
  Answer: ambassador (2010, 2011); Member of the National Assembly of Quebec (2018, 2019, 2020)
Example:
  Question: List all positions Sajid Javid held from 2015 to 2020.
  Answer: Secretary of State for Business and Trade (2015, 2016); Secretary of State for Levelling Up, Housing and Communities (2016, 2017, 2018); Home Secretary (2018, 2019); Chancellor of the Exchequer (2019, 2020)
Example:
  Question: List all positions Audun Lysbakken held from 2010 to 2020.
  Answer: Minister of Children and Families (2010, 2011, 2012); party leader (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all coaches of Belarus national under-21 football team from 2010 to 2020,"Yuriy Yaroslav (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","[""Belarus women's national football team Type: Women Name: Belarus Badge: Football Federation of Belarus logo.svg Badge Size: 150px Fifa Trigramme: BLR Association: Football Federation of Belarus (Беларуская фэдэрацыя па футболу) Confederation: UEFA (Europe) Coach: Eduard Demenkovets Captain: Oksana Shpak Most Caps: Anna Pilipenko (41) Top Scorer: Anna Pilipenko (10) Fifa Max: 37 Fifa Max Date: December 2011; August 2012 Fifa Min: 57 Fifa Min Date: March 2023 – March 2024 Leftarm1: FF0000 Body1: FF0000 Rightarm1: FF0000 Shorts1: 008000 Socks1: FF0000 Pattern La2: _BLRwomen14a Pattern B2: _BLRwomen14a Pattern Ra2: _BLRwomen14a Pattern Sh2: _BLRwomen14a Pattern So2: _BLRwomen14a First Game: 3–0 (Kędzierzyn-Koźle, Poland; 4 November 1995) Largest Win: 0–7 (Valga, Estonia; 17 May 2000)  8–1  (Minsk, Belarus; 25 August 2004) Largest Loss: 8–0 (Kyiv, Ukraine; 2 August 2014)  8–0  (18 September 2015)""]","Example:
  Question: List all coaches of Belarus national under-19 football team from 2019 to 2020
  Answer: Uladzimir Karytska (2019, 2020); Andrei Zygmantovich (2020)
Example:
  Question: List all coaches of Belarus national football team, also known as Belarus national soccer team, from 2010 to 2020
  Answer: Bernd Stange (2010, 2011); Georgy Kondratyev (2011, 2012, 2013, 2014); Andrei Zygmantovich (2014); Alyaksandr Khatskevich (2014, 2015, 2016); Igor Kriushenko (2017, 2018, 2019); Mikhail Markhel (2019, 2020)
Example:
  Question: List all coaches of FC Minsk from 2016 to 2020
  Answer: Vyachaslaw Hryharaw (2019, 2020); Alyaksandar Lukhvich (2020, 2018); Georgy Kondratyev (2016, 2017); Andrey Razin (2019, 2020); Vadim Skripchenko (2020)
Example:
  Question: List all coaches of FC Krumkachy Minsk from 2015 to 2020
  Answer: Oleg Dulub (2015, 2016); Vasil Khamutowski (2016, 2017); Aliaksei Kuchuk (2017, 2018, 2019); Volodymyr Pyatenko (2017); Syarhey Kuzminich (2019, 2020)
Example:
  Question: List all coaches of Poland national association football team, also known as Poland national football team, from 2010 to 2020
  Answer: Franciszek Smuda (2010, 2011, 2012); Waldemar Fornalik (2012, 2013); Adam Nawałka (2013, 2014, 2015, 2016, 2017, 2018); Jerzy Brzęczek (2018, 2019, 2020)
Example:
  Question: List all coaches of Germany women's national football team from 2010 to 2020
  Answer: Silvia Neid (2010, 2011, 2012, 2013, 2014, 2015, 2016); Steffi Jones (2016, 2017, 2018); Horst Hrubesch (2018); Martina Voss-Tecklenburg (2018, 2019, 2020)
Example:
  Question: List all coaches of Borussia Mönchengladbach from 2017 to 2020
  Answer: Dieter Hecking (2017, 2018, 2019); Marco Rose (2019, 2020)"
"List all sports teams Joe Ledley, also known as Joseph Christopher Ledley, played for from 2010 to 2020.","Manchester City F.C. (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","['Joe Szekely Name: Joe Szekely Position: Rightfielder Bats: Right Throws: Right Birth Date: February 2, 1925 Birth Place: Cleveland, Ohio Death Date: October 16, 1995 Death Place: Paris, Texas Debutleague: MLB Debutdate: September 13 Debutyear: 1953 Debutteam: Cincinnati Redlegs Finalleague: MLB Finaldate: September 27 Finalyear: 1953 Finalteam: Cincinnati Redlegs Statleague: MLB Stat1Label: Batting average Stat1Value: .077 Stat2Label: Home runs Stat2Value: 0 Stat3Label: Runs batted in Stat3Value: 0 Teams: *Cincinnati Redlegs (1953)']","Example:
  Question: List all sports teams Joe Cole, also known as Joseph John Cole, played for from 2010 to 2018.
  Answer: England national association football team (2010); Chelsea F.C. (2010); Liverpool F.C. (2010, 2011, 2012, 2013); Lille OSC (2011, 2012); West Ham United F.C. (2013, 2014); Aston Villa F.C. (2014, 2015, 2016); Coventry City F.C. (2015, 2016); Tampa Bay Rowdies (2016, 2017, 2018)
Example:
  Question: List all sports teams Tom Cleverley, also known as Thomas William Cleverley, played for from 2010 to 2020.
  Answer: Watford F.C. (2010); Wigan Athletic F.C. (2010, 2011); England national under-21 association football team (2010, 2011); Manchester United F.C. (2010, 2011, 2012, 2013, 2014, 2015); England national association football team (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Great Britain olympic football team (2012); Aston Villa F.C. (2014, 2015); Everton F.C. (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all sports teams Lewis Hamilton, also known as Lewis Carl Davidson Hamilton, played for from 2010 to 2020.
  Answer: McLaren (2010, 2011, 2012); Mercedes F1 Team (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all sports teams Joe Hart, also known as Charles Joseph John Hart, played for from 2010 to 2020.
  Answer: Manchester City F.C. (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Birmingham City F.C. (2010); Torino Football Club (2016, 2017); West Ham United F.C. (2017, 2018); Burnley F.C. (2018, 2019, 2020); Tottenham Hotspur F.C. (2020)
Example:
  Question: List all sports teams James McClean, also known as James Joseph McClean, played for from 2010 to 2020.
  Answer: Derry City F.C. (2010, 2011); Northern Ireland national under-21 association football team (2010); Sunderland A.F.C. (2011, 2012, 2013); Republic of Ireland national association football team (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Wigan Athletic F.C. (2013, 2014, 2015); West Bromwich Albion F.C. (2015, 2016, 2017, 2018); Stoke City F.C. (2018, 2019, 2020)
Example:
  Question: List all sports teams Frank Sinclair, also known as Frank Mohammed Sinclair, played for from 2010 to 2015.
  Answer: Wrexham A.F.C. (2010, 2011); Hendon F.C. (2011); Colwyn Bay F.C. (2012, 2013, 2014, 2015); Brackley Town F.C. (2015)
Example:
  Question: List all sports teams Tom Kennedy, also known as Thomas Gordon Kennedy, played for from 2010 to 2020.
  Answer: Rochdale A.F.C. (2010, 2011, 2014, 2015, 2016, 2017, 2018, 2019, 2020); Leicester City F.C. (2010, 2011, 2012); Peterborough United F.C. (2011); Barnsley F.C. (2012, 2013, 2014); Blackpool F.C. (2014, 2015); Bury F.C. (2014)"
List all political parties Laurențiu Rebega was a member of from 2010 to 2020.,"Partidul Naţională (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","['Hlomane Chauke Office: Member of the North West Executive Council for Sports, Arts and Culture Termstart: 25 November 2010 Party: African National Congress Citizenship: South Africa Premier: Thandi Modise Termend: 3 May 2012 Successor: Tebogo Modise Predecessor: Grace Pampiri-Bothman Otherparty: South African Communist Party']","Example:
  Question: List all political parties Remigijus Šimašius was a member of from 2010 to 2020.
  Answer: Liberal Movement (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018); Freedom Party (2019, 2020)
Example:
  Question: List all political parties Corina Crețu was a member of from 2010 to 2020.
  Answer: Social Democratic Party (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019); PRO Romania (2019, 2020)
Example:
  Question: List all political parties Banuera Berina was a member of from 2010 to 2020.
  Answer: Maurin Kiribati Pati (2010, 2011, 2012, 2013); Tobwaan Kiribati Party (2016, 2017, 2018, 2019); Kiribati First Party (2019, 2020); Boutokaan Kiribati Moa Party (2020)
Example:
  Question: List all political parties Meir Sheetrit was a member of from 2010 to 2020.
  Answer: Kadima (2010, 2011, 2012); Hatnuah (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Evi Christofilopoulou was a member of from 2010 to 2020.
  Answer: Panhellenic Socialist Movement (2010, 2011, 2012, 2013, 2014, 2015); Democratic Alignment (2015, 2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Cristovam Buarque, also known as Cristovam Ricardo Cavalcanti Buarque, was a member of from 2010 to 2020.
  Answer: Democratic Labour Party (2010, 2011, 2012, 2013, 2014, 2015, 2016); Cidadania (2016, 2017, 2018, 2019, 2020)
Example:
  Question: List all political parties Donato Bruno was a member of from 2010 to 2020.
  Answer: The People of Freedom (2010, 2011, 2012, 2013); Forza Italia (2013) (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
