question,response
"List all sports teams Anthony Grant, also known as Anthony Paul Shaun Andrew Daure Grant, played for from 2010 to 2020.","Anthony Grant (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Oleksandr Turchynov, also known as Oleksandr Valentynovych Turchynov, held from 2010 to 2020.","Deputy Prime Minister of Ukraine (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all political parties Paul Murphy was a member of from 2010 to 2020.,"Democrat (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Andy Carroll, also known as Andrew Thomas Carroll, played for from 2010 to 2020.","Cleveland Browns (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Newfoundland and Labrador, also known as NL, from 2013 to 2020 ","The Honourable John A. McIntyre (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Samy Azer, also known as Samy A Azer, worked for from 2010 to 2020.","Samy Azer (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Leo Varadkar, also known as Leo Eric Varadkar, held from 2010 to 2020.","The Irish Times (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all coaches of Belarus national under-21 football team from 2010 to 2020,"2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Joe Ledley, also known as Joseph Christopher Ledley, played for from 2010 to 2020.","The New York Giants (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all political parties Laurențiu Rebega was a member of from 2010 to 2020.,"Partidul Naţională pentru Drepturile Omului (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Bojan Krkić, also known as Bojan Krkić Pérez, played for from 2010 to 2020.","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all political parties Catherine Dorion was a member of from 2011 to 2020.,"Catherine Dorion (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all political parties Manu Sareen was a member of from 2010 to 2018.,"BJP (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of Nowoczesna, also known as Modern Poland, from 2015 to 2020","2015, 2016, 2017, 2018, 2019, 2020"
List all positions Michel Spiro held from 2010 to 2020.,"Deputy Minister of Health (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Andrew Scheer, also known as Andrew James Scheer, held from 2011 to 2020.","Andrew Scheer (2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Gap Connah's Quay F.C., also known as Connah's Quay Nomads F.C., from 2010 to 2020","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all coaches of Gabala FC from 2014 to 2020,"2014, 2015, 2016, 2017, 2018, 2019, 2020"
List all employers Jada Benn Torres worked for from 2010 to 2020.,"The New York Yankees (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Dominique Mamberti, also known as Dominique François Joseph Mamberti, held from 2010 to 2020.","Deputy Minister of Foreign Affairs (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of Pakistani Taliban, also known as Tehreek-e-Taliban-e-Pakistan, from 2010 to 2020"," (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all positions Giorgos Papandreou, also known as George Andreas Papandreou, held from 2010 to 2011.","Theodore Papandreou (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all coaches of FC Belshina Bobruisk from 2010 to 2020,"2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all entities that owned The Buteman from 2010 to 2019.,"The Buteman (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all employers Hilary Parker, also known as Hilary S. Parker, worked for from 2010 to 2020.","NBC Universal (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all political parties Álvaro Uribe Vélez, also known as Álvaro Uribe, was a member of from 2010 to 2020.","lvaro Uribe Vélez (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all heads of the government of Italy, also known as Italia, from 2010 to 2020 ","The Prime Minister of Italy (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Akhisar Belediyespor, also known as Akhisar Belediye ve Gençlik Spor, from 2018 to 2020","zgür zgür (2018, 2019, 2020)"
"List all employers Adam Vojtěch, also known as Adam Vojtech, worked for from 2013 to 2020.","Adam Vojtch (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all chairpersons of Finns Party, also known as Perussuomalaiset, from 2010 to 2020","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all coaches of Stoke City F.C., also known as Stoke City Football Club, from 2018 to 2020","Darren Ferguson (2018, 2019, 2020)"
"List all political parties Lucy Gichuhi, also known as Lucy Muringo Gichuhi, was a member of from 2010 to 2020.","Electoral College (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
"List all sports teams Vincenzo Nibali, also known as Lo Squalo, played for from 2010 to 2020.","2010 (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
